clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI
377,0.32799146,0.049210727,0.22310127,0.43288165
378,0.2952675,0.05399265,0.18018489,0.4103501
379,0.099415205,0.043270767,0.00768528,0.19114514
380,0.15522876,0.048147142,0.05364717,0.25681037
381,0.0,,,
382,0.051146384,0.034496665,-0.022381518,0.12467429
383,0.0,,,
384,0.01754386,0.018169664,-0.021709314,0.05679703
385,0.0,,,
386,0.0,,,
387,0.12222222,0.047129128,0.022788454,0.221656
388,0.16666667,0.048809156,0.06368835,0.26964498
389,0.06111111,0.03495562,-0.012638803,0.13486102
390,0.00952381,0.0098628905,-0.011384583,0.030432204
391,0.030651342,0.021897735,-0.015548841,0.076851524
392,0.14747475,0.056175753,0.0250783,0.2698712
393,0.28555557,0.07538013,0.12388126,0.44722986
394,0.10826211,0.041851178,0.01996384,0.19656038
395,0.21975309,0.047840673,0.118335396,0.32117078
396,0.17753623,0.046628032,0.07915969,0.2759128
397,0.19653526,0.06113212,0.06755775,0.32551277
398,0.15049227,0.05731697,0.029564032,0.2714205
399,0.11181435,0.045067903,0.016729388,0.20689932
400,0.10952381,0.04125942,0.022474043,0.19657359
401,0.12654321,0.043298986,0.035190336,0.21789609
402,0.20319636,0.061173074,0.07413246,0.33226025
403,0.16858238,0.060647342,0.038506772,0.29865798
404,0.04385965,0.031282715,-0.022456743,0.11017604
405,0.025641026,0.02528907,-0.027969409,0.07925146
406,0.011111111,0.011410986,-0.012963966,0.03518619
407,0.11680912,0.04537622,0.020615833,0.21300241
408,0.035555556,0.024660164,-0.01647284,0.08758395
409,0.040334858,0.029378423,-0.02194462,0.102614336
410,0.10641628,0.059466638,-0.019647365,0.23247992
411,0.035353538,0.03475012,-0.03917805,0.10988513
412,0.0,,,
413,0.027131783,0.026880678,-0.030163027,0.0844266
414,0.0,,,
415,0.18476905,0.06665044,0.043476425,0.32606167
416,0.06358769,0.048101306,-0.03893782,0.16611318
417,0.27185187,0.06963476,0.12342889,0.42027482
418,0.10732324,0.04710429,0.0074665975,0.20717987
419,0.022222225,0.02283258,-0.025950307,0.070394754
420,0.08093279,0.040534526,-0.0049965708,0.16686215
421,0.1780822,0.05662541,0.05861302,0.29755136
422,0.04145937,0.030213123,-0.022589589,0.10550833
423,0.122685194,0.05292917,0.011014404,0.23435597
424,0.4150327,0.056010876,0.2968601,0.53320533
425,0.14135803,0.046044454,0.04421272,0.23850334
426,0.1400626,0.061397724,0.0083775865,0.27174762
427,0.0375,0.025950676,-0.017251138,0.09225114
428,0.252073,0.057148144,0.1302646,0.37388137
429,0.24316941,0.056985907,0.12170682,0.364632
430,0.19791667,0.05199182,0.08822352,0.30760983
431,0.3973064,0.0503558,0.28997555,0.50463724
432,0.19819821,0.06406316,0.06165081,0.33474562
433,0.27230048,0.06461503,0.1345768,0.41002417
434,0.043117747,0.02978941,-0.02037688,0.10661237
435,0.27068558,0.06628709,0.12748103,0.41389015
436,0.3851852,0.04830413,0.28278503,0.4875854
437,0.31611896,0.059807833,0.1878439,0.444394
438,0.22067901,0.06145491,0.089690976,0.35166705
439,0.37262875,0.06555531,0.2336577,0.5115998
440,0.109375,0.052056804,-0.002275743,0.22102575
441,0.06451613,0.039496407,-0.020195235,0.1492275
442,0.09333334,0.05786482,-0.030002603,0.21666929
443,0.13271606,0.049550645,0.027101353,0.23833075
444,0.0,,,
445,0.299458,0.07469056,0.13926269,0.45965332
446,0.17142858,0.06979502,0.021733148,0.321124
447,0.4324074,0.074223,0.27205837,0.59275645
448,0.0058479533,0.006145701,-0.0072512976,0.018947205
449,0.34609613,0.07496875,0.18630402,0.5058882
450,0.41875002,0.049094178,0.31345347,0.52404654
